qid,category,confidence,reading_score,math_score,knowledge_score,question
test_0001,MATH,0.8623,0.8481,0.8623,0.8541,"Đoạn thông tin:
[1] Tiêu đề: Ném đá
Nội dung: Thạch hình là một phương pháp tử hình trong đó một nhóm người ném đá vào người cho đến khi đối tượng chết vì chấn thương cùn. Nó đã được chứng thực như một hình thức trừng phạt cho những hành vi sai trái nghiêm trọng từ thời cổ đại. Việc áp dụng nó trong một số hệ thống pháp lý đã gây ra tranh cãi trong những thập kỷ gần đây.
Torah và Talmud quy định ném đá là hình phạt cho một số hành vi phạm tội. Trong nhiều thế kỷ, Do Thái giáo Rabbinic đã phát tr"
test_0002,MATH,0.8577,0.8211,0.8577,0.8173,"Nếu bảng cầu của một sản phẩm cho thấy tại mức giá 5 đô la, lượng cầu là 150 đơn vị, và tại mức giá 3 đô la, lượng cầu là 250 đơn vị, thì độ co giãn của cầu theo giá giữa hai điểm này là bao nhiêu?"
test_0003,KNOWLEDGE,0.8438,0.8336,0.8408,0.8438,"Đoạn thông tin:
Tiêu đề: Friedrich Wilhelm I của Phổ
Nội dung: Friedrich Wilhelm I, tên thật là Friedrich Wilhelm von Hohenzollern, (14 tháng 8 năm 1688 – 31 tháng 5 năm 1740), phiên âm tiếng Việt là Phriđrích I Vinhem là một thành viên của Hoàng tộc nhà Hohenzollern. Ông là vị vua thứ hai của nước Phổ, và cũng là Tuyển hầu tước xứ Brandenburg từ năm 1713 đến khi qua đời năm 1740. Trên cương vị là Tuyển hầu tước xứ Brandenburg, ông được gọi là Friedrich Wilhelm II. Trong liên minh cá nhân, ông l"
test_0004,KNOWLEDGE,0.8423,0.8406,0.839,0.8423,"Đoạn thông tin:
Title: Trận Höchstädt lần thứ hai
Content: Trận Höchstädt hay còn được gọi là trận Blindheim hoặc là trận Blenheim theo cách gọi của người Anh, diễn ra vào ngày 13 tháng 8 năm 1704, là một trận đánh lớn trong cuộc chiến tranh Kế vị Tây Ban Nha. Vua Pháp là Louis XIV đã quyết định tung một đòn quyết định vào Hoàng đế Leopold I của Đế quốc La Mã Thần thánh bằng việc tiến công Viên - kinh sư của triều đình nhà Habsburg, và nếu thắng lợi thì phe Đại Liên minh sẽ phải ký kết một Hòa ư"
test_0005,KNOWLEDGE,0.8556,0.8476,0.8429,0.8556,"Đoạn thông tin:
[1] Tiêu đề: Yaroslav. Một ngàn năm trước
Nội dung: Yaroslav. Một ngàn năm trước (tiếng Nga: Ярослав. Тысячу лет назад) là một bộ phim về sự hình thành Yaroslavl.
Yaroslavl là một đô thị cổ kính nằm trên lộ trình du lịch nổi tiếng Vành đai vàng của nước Nga và trong năm 2010 kỷ niệm tròn một ngàn năm tuổi. Dịp chào mừng sự kiện trọng đại hiếm có trong lịch sử, các nhà điện ảnh Nga đã quyết định thực hiện một bộ phim thể loại lịch sử - phiêu lưu, đó là Yaroslavl. Một ngàn năm trướ"
test_0006,MATH,0.8717,0.8243,0.8717,0.818,"Xét một phản ứng hóa học trong đó nồng độ của chất phản ứng $ B $ giảm theo thời gian theo phương trình vi phân $ \frac{dB}{dt} = -k B $, trong đó $ k $ là một hằng số dương. Nếu nồng độ ban đầu của $ B $ là $ B_0 $, thì nồng độ của $ B $ tại thời điểm $ t $ là bao nhiêu?"
test_0007,KNOWLEDGE,0.8291,0.8162,0.8175,0.8291,Một trong các biểu hiện của biến đổi khí hậu là gì?
test_0008,MATH,0.85,0.805,0.85,0.8168,"Trong một năm nhất định, GDP danh nghĩa của một quốc gia là 500 tỷ USD và GDP thực tế là 400 tỷ USD. Nếu chỉ số giá GDP của năm trước là 100, thì tỷ lệ lạm phát cho năm hiện tại là bao nhiêu?"
test_0009,MATH,0.8536,0.817,0.8536,0.8236,"Một bể chứa hình trụ đang được đổ đầy nước với tốc độ không đổi là 50 centimet khối mỗi giây. Khi độ cao của nước trong bể là 10 cm, bán kính của bể là 5 cm. Hỏi tốc độ tăng của độ cao nước là bao nhiêu?"
test_0010,MATH,0.8402,0.8358,0.8402,0.8256,Giải pháp nào sau đây được đề xuất để xử lý lỗi xác thực khi nộp hồ sơ thẩm duyệt thiết kế về phòng cháy và chữa cháy?
test_0011,MATH,0.8381,0.8232,0.8381,0.8361,"Đoạn thông tin:
[1] Tiêu đề: Bộ Sả
Nội dung: Bộ Sả (danh pháp khoa học: Coraciiformes) theo phân loại truyền thống là một nhóm của các loài chim tương tự như chim sẻ thường là có bộ lông lòe loẹt, bao gồm bói cá, trảu, sả, đầu rìu và hồng hoàng. Chúng nói chung có các ngón chân dính vào nhau, với ba ngón hướng về phía trước. Bộ này chủ yếu phân bố tại Cựu Thế giới, với các đại diện của Tân Thế giới chỉ có 13 loài sả Ăng-ti (tody) và sả đuôi trĩ (motmot), cũng như chỉ có 6 trong tổng số khoảng 84"
test_0012,MATH,0.8107,0.7955,0.8107,0.8083,Khoa học gia nào trong số những người sau đây đã đóng vai trò quan trọng nhưng thường bị bỏ qua trong quá trình phát triển lập trình máy tính thông qua công việc của họ trên các máy tính đầu tiên?
test_0013,MATH,0.8554,0.8158,0.8554,0.823,Một bể hình trụ đang được đổ đầy nước với tốc độ không đổi là 20 cm³/s. Bán kính của bể là 5 cm. Hỏi tốc độ thay đổi chiều cao của mực nước trong bể khi chiều cao là 10 cm là bao nhiêu?
test_0014,MATH,0.8431,0.8309,0.8431,0.8406,"Đoạn thông tin:
[1] Tiêu đề: Arles, Các đài kỷ niệm Romanesque và La Mã
Nội dung: Các đài kỷ niệm Romanesque và La Mã ở Arles là tập hợp các di tích nằm ở trung tâm thành phố Arles, miền nam nước Pháp đã được UNESCO công nhận là Di sản thế giới từ năm 1981. Arles là một ví dụ tốt về sự thích nghi của một thành phố cổ với nền văn minh thời Trung cổ ở châu Âu. Thành phố có một số di tích La Mã ấn tượng, trong đó sớm nhất là đấu trường La Mã, nhà hát La Mã và các phòng trưng bày ngầm có niên đại từ"
test_0015,KNOWLEDGE,0.841,0.8382,0.8284,0.841,Bạn nên làm gì nếu muốn có danh thiếp từ một người chưa từng đưa danh thiếp?
test_0016,MATH,0.8727,0.8443,0.8727,0.8388,"Xét các phản ứng sau:
1. $ \text{X} \rightarrow \text{Y} $ với $ \Delta H_1 $
2. $ \text{Y} \rightarrow \text{Z} $ với $ \Delta H_2 $
3. $ \text{X} \rightarrow \text{Z} $ với $ \Delta H_3 $
Biết rằng $ \Delta H_1 = -80 \, \text{kJ/mol} $ và $ \Delta H_2 = -30 \, \text{kJ/mol} $, giá trị của $ \Delta H_3 $ theo Định luật Hess là bao nhiêu?"
test_0017,KNOWLEDGE,0.8381,0.8349,0.831,0.8381,"Đoạn thông tin:
Setter
Setter là một giống chó săn thể thao chuyên dùng vào mục đích săn chim và gà đồng trên đồng cỏ rộng lớn. Với bộ lông óng mượt và dài trùm kín lên cơ thể tạo cho chúng vẻ quy phái và thường làm chó cảnh nhưng nó còn có khả năng săn bắt tốt. Những giống chó này đã được chọn nuôi từ rất lâu tại các quốc gia thuộc vương quốc Anh trước khi nó được mang tới Mĩ phục vụ cho nhu cầu nuôi chủ yếu làm chó cảnh trong các gia đình. Setter có 4 giống chính đó là

Setter Ái Nhĩ Lan (Iris"
test_0018,KNOWLEDGE,0.8689,0.8594,0.8546,0.8689,Giành quyền lực chính trị được hiểu là:
test_0019,KNOWLEDGE,0.8182,0.8166,0.8176,0.8182,Phương pháp nào hiệu quả nhất để pháp nhân thương mại tiếp tục hoạt động khi đã bị đình chỉ vĩnh viễn?
