qid,category,confidence,question
test_0001,READING,1.0,Đoạn thông tin: [1] Tiêu đề: Ném đá Nội dung: Thạch hình là một phương pháp tử hình trong đó một nhóm người ném đá vào người cho đến khi đối tượng chết vì chấn thương cùn. Nó đã được chứng thực như một hình thức trừng phạt cho những hành vi sai trái nghiêm trọng từ thời cổ đại. Việc áp dụng nó trong...
test_0002,MATH,0.95,"Nếu bảng cầu của một sản phẩm cho thấy tại mức giá 5 đô la, lượng cầu là 150 đơn vị, và tại mức giá 3 đô la, lượng cầu là 250 đơn vị, thì độ co giãn của cầu theo giá giữa hai điểm này là bao nhiêu?..."
test_0003,READING,1.0,"Đoạn thông tin: Tiêu đề: Friedrich Wilhelm I của Phổ Nội dung: Friedrich Wilhelm I, tên thật là Friedrich Wilhelm von Hohenzollern, (14 tháng 8 năm 1688 – 31 tháng 5 năm 1740), phiên âm tiếng Việt là Phriđrích I Vinhem là một thành viên của Hoàng tộc nhà Hohenzollern. Ông là vị vua thứ hai của nước ..."
test_0004,READING,1.0,"Đoạn thông tin: Title: Trận Höchstädt lần thứ hai Content: Trận Höchstädt hay còn được gọi là trận Blindheim hoặc là trận Blenheim theo cách gọi của người Anh, diễn ra vào ngày 13 tháng 8 năm 1704, là một trận đánh lớn trong cuộc chiến tranh Kế vị Tây Ban Nha. Vua Pháp là Louis XIV đã quyết định tun..."
test_0005,READING,1.0,Đoạn thông tin: [1] Tiêu đề: Yaroslav. Một ngàn năm trước Nội dung: Yaroslav. Một ngàn năm trước (tiếng Nga: Ярослав. Тысячу лет назад) là một bộ phim về sự hình thành Yaroslavl. Yaroslavl là một đô thị cổ kính nằm trên lộ trình du lịch nổi tiếng Vành đai vàng của nước Nga và trong năm 2010 kỷ niệm ...
test_0006,MATH,1.0,"Xét một phản ứng hóa học trong đó nồng độ của chất phản ứng $ B $ giảm theo thời gian theo phương trình vi phân $ \frac{dB}{dt} = -k B $, trong đó $ k $ là một hằng số dương. Nếu nồng độ ban đầu của $ B $ là $ B_0 $, thì nồng độ của $ B $ tại thời điểm $ t $ là bao nhiêu?..."
test_0007,KNOWLEDGE,0.9,Một trong các biểu hiện của biến đổi khí hậu là gì?...
test_0008,MATH,0.95,"Trong một năm nhất định, GDP danh nghĩa của một quốc gia là 500 tỷ USD và GDP thực tế là 400 tỷ USD. Nếu chỉ số giá GDP của năm trước là 100, thì tỷ lệ lạm phát cho năm hiện tại là bao nhiêu?..."
test_0009,MATH,0.95,"Một bể chứa hình trụ đang được đổ đầy nước với tốc độ không đổi là 50 centimet khối mỗi giây. Khi độ cao của nước trong bể là 10 cm, bán kính của bể là 5 cm. Hỏi tốc độ tăng của độ cao nước là bao nhiêu?..."
test_0010,KNOWLEDGE,0.9,Giải pháp nào sau đây được đề xuất để xử lý lỗi xác thực khi nộp hồ sơ thẩm duyệt thiết kế về phòng cháy và chữa cháy?...
